Running as unit: kivou-173-import-diagnostic.service; invocation ID: 4f6848fbf4b54b53b3f76edc9515c2b3
import time: self [us] | cumulative | imported package
import time:      8788 |       8788 |                         signals.acquisition.contracts
import time:       227 |       9014 |                       signals.acquisition
import time:        34 |       9048 |                     signals.acquisition.contracts
import time:     34855 |      34855 |                                   signals.policy.contracts
import time:      2239 |       2239 |                                   signals.policy.registry
import time:      2117 |      39209 |                                 signals.policy.evaluator
import time:       292 |      39501 |                               signals.policy
import time:        53 |      39553 |                             signals.policy.contracts
import time:     30205 |      30205 |                                 signals.supplier_discovery.contracts
import time:       835 |        835 |                                 signals.supplier_discovery.profile
import time:       484 |      31524 |                               signals.supplier_discovery
import time:        35 |      31558 |                             signals.supplier_discovery.contracts
import time:     19826 |      90937 |                           signals.company_research.contracts
import time:       879 |        879 |                           signals.company_research.prebuild
import time:       604 |        604 |                           signals.company_research.profile
import time:      1026 |      93444 |                         signals.company_research
import time:        31 |      93475 |                       signals.company_research.contracts
import time:     15011 |     108485 |                     signals.decision_engine.contracts
import time:      2134 |       2134 |                         signals.recency.policy
import time:       201 |       2335 |                       signals.recency
import time:      1028 |       3363 |                     signals.decision_engine.policy
import time:       602 |     121497 |                   signals.decision_engine.evaluator
import time:       925 |        925 |                   signals.decision_engine.input
import time:       227 |     122648 |                 signals.decision_engine
import time:        24 |     122671 |               signals.decision_engine.policy
import time:     20773 |     143443 |             signals.campaigns.contracts
import time:       248 |     143691 |           signals.campaigns
import time:       229 |        229 |                         signals.supervisor.registry
import time:      9628 |       9857 |                       signals.supervisor.contracts
import time:      2790 |       2790 |                       signals.supervisor.runtime
import time:       421 |      13066 |                     signals.supervisor.protocol
import time:       210 |      13276 |                   signals.supervisor
import time:        32 |      13307 |                 signals.supervisor.registry
import time:      2056 |      15362 |               signals.acquisition.state
import time:        95 |         95 |                           alembic.runtime
import time:       107 |        107 |                             sqlalchemy.engine.strategies
import time:       215 |        215 |                                     sqlalchemy.ext
import time:       398 |        613 |                                   sqlalchemy.ext.compiler
import time:      1254 |       1254 |                                           configparser
import time:       103 |        103 |                                                 tomllib._types
import time:       827 |        929 |                                               tomllib._re
import time:       692 |       1621 |                                             tomllib._parser
import time:       125 |       1745 |                                           tomllib
import time:       161 |       3160 |                                         alembic.util.compat
import time:       154 |        154 |                                         alembic.util.exc
import time:       160 |       3473 |                                       alembic.util.editor
import time:       519 |        519 |                                       alembic.util.langhelpers
import time:       359 |        359 |                                         termios
import time:       247 |        606 |                                       alembic.util.messaging
import time:       126 |        126 |                                         mako
import time:       360 |        360 |                                           mako.compat
import time:        53 |         53 |                                               gc
import time:       186 |        239 |                                             timeit
import time:       460 |        698 |                                           mako.util
import time:        96 |         96 |                                             mako.ext
import time:       126 |        126 |                                             pygments
import time:       156 |        156 |                                                 pygments.formatters._mapping
import time:        92 |         92 |                                                 pygments.plugin
import time:       538 |        538 |                                                 pygments.util
import time:       209 |        995 |                                               pygments.formatters
import time:       196 |        196 |                                                   pygments.styles._mapping
import time:       131 |        326 |                                                 pygments.styles
import time:       261 |        587 |                                               pygments.formatter
import time:       306 |        306 |                                               pygments.token
import time:        68 |         68 |                                               ctags
import time:       314 |       2268 |                                             pygments.formatters.html
import time:       108 |        108 |                                               pygments.filter
import time:       536 |        536 |                                               pygments.filters
import time:       216 |        216 |                                               pygments.regexopt
import time:       612 |       1469 |                                             pygments.lexer
import time:      1492 |       1492 |                                                 pygments.lexers._mapping
import time:       265 |        265 |                                                 pygments.modeline
import time:       270 |       2026 |                                               pygments.lexers
import time:       190 |        190 |                                                   pygments.unistring
import time:      1137 |       1326 |                                                 pygments.lexers.python
import time:       483 |        483 |                                                 pygments.lexers._scheme_builtins
import time:      1697 |       3506 |                                               pygments.lexers.lisp
import time:      3061 |       3061 |                                               pygments.lexers.jvm
import time:       653 |        653 |                                               pygments.lexers.ruby
import time:      1383 |       1383 |                                               pygments.lexers.perl
import time:       226 |        226 |                                               pygments.lexers.d
import time:        94 |         94 |                                               pygments.lexers.iolang
import time:       238 |        238 |                                               pygments.lexers.tcl
import time:       295 |        295 |                                               pygments.lexers.factor
import time:       165 |        165 |                                                 pygments.lexers._lua_builtins
import time:      1874 |       2038 |                                               pygments.lexers.scripting
import time:       179 |      13693 |                                             pygments.lexers.agile
import time:       738 |        738 |                                                 pygments.lexers.javascript
import time:       229 |        229 |                                                   pygments.lexers._css_builtins
import time:       489 |        717 |                                                 pygments.lexers.css
import time:       445 |       1899 |                                               pygments.lexers.html
import time:       285 |        285 |                                               pygments.lexers.actionscript
import time:       279 |        279 |                                               pygments.lexers.php
import time:       457 |        457 |                                               pygments.lexers.webmisc
import time:       295 |        295 |                                               pygments.lexers.data
import time:       156 |       3370 |                                             pygments.lexers.web
import time:       271 |        271 |                                               pygments.style
import time:       244 |        514 |                                             pygments.styles.default
import time:       537 |      22069 |                                           mako.ext.pygmentplugin
import time:       333 |      23459 |                                         mako.exceptions
import time:       154 |        154 |                                           mako.cache
import time:       358 |        358 |                                                 mako._ast_util
import time:       231 |        588 |                                               mako.pyparser
import time:      1388 |       1975 |                                             mako.ast
import time:       287 |        287 |                                                 markupsafe._speedups
import time:       511 |        797 |                                               markupsafe
import time:       575 |       1371 |                                             mako.filters
import time:       457 |        457 |                                             mako.parsetree
import time:       174 |        174 |                                             mako.pygen
import time:       873 |       4848 |                                           mako.codegen
import time:       474 |        474 |                                           mako.runtime
import time:       293 |        293 |                                           mako.lexer
import time:       438 |       6206 |                                         mako.template
import time:       207 |      29996 |                                       alembic.util.pyfiles
import time:       883 |        883 |                                       alembic.util.sqla_compat
import time:       289 |      35763 |                                     alembic.util
import time:        46 |      35808 |                                   alembic.util.sqla_compat
import time:       920 |      37340 |                                 alembic.ddl.base
import time:       814 |        814 |                                   alembic.ddl._autogen
import time:       748 |       1561 |                                 alembic.ddl.impl
import time:       400 |      39300 |                               alembic.ddl.mssql
import time:       531 |        531 |                               alembic.ddl.mysql
import time:       188 |        188 |                               alembic.ddl.oracle
import time:       108 |        108 |                                     sqlalchemy.dialects.postgresql.operators
import time:       679 |        786 |                                   sqlalchemy.dialects.postgresql.array
import time:       368 |        368 |                                     sqlalchemy.dialects.postgresql.json
import time:      1543 |       1543 |                                     sqlalchemy.dialects.postgresql.ranges
import time:       589 |        589 |                                         sqlalchemy.dialects.postgresql.types
import time:      4250 |       4839 |                                       sqlalchemy.dialects.postgresql.pg_catalog
import time:       929 |        929 |                                       sqlalchemy.dialects.postgresql.ext
import time:      2121 |       2121 |                                       sqlalchemy.dialects.postgresql.hstore
import time:       654 |        654 |                                       sqlalchemy.dialects.postgresql.named_types
